File,Line,Secret_Type,Variable_Name,Severity,Status
lucy-integration-service.js,25,Voice_API_Key,LUCY_VOICE_ID,HIGH,NEEDS_MIGRATION
test-integration.js,216,Auth_Token,ASOOS_FLYER_AUTH_TOKEN,CRITICAL,NEEDS_MIGRATION
connectors/dr-lucy-ml-connector.js,90,API_Key,DR_LUCY_API_KEY,CRITICAL,NEEDS_MIGRATION
connectors/dr-lucy-ml-connector.js,91,Access_Token,ML_ACCESS_TOKEN,CRITICAL,NEEDS_MIGRATION
connectors/dr-lucy-ml-connector.js,92,API_Key,DEEP_MIND_API_KEY,CRITICAL,NEEDS_MIGRATION
connectors/hume-ai-connector.js,145,API_Key,HUME_API_KEY,CRITICAL,NEEDS_MIGRATION
connectors/hume-ai-connector.js,146,Access_Token,HUME_ACCESS_TOKEN,CRITICAL,NEEDS_MIGRATION
connectors/mcp-universal-template.js,115,API_Key,MCP_TEMPLATE_API_KEY,HIGH,NEEDS_MIGRATION
connectors/mcp-universal-template.js,117,Deployment_Key,MCP_DEPLOYMENT_KEY,CRITICAL,NEEDS_MIGRATION
connectors/hrai-crms-connector.js,94,API_Key,PINECONE_API_KEY,CRITICAL,NEEDS_MIGRATION
connectors/hrai-crms-connector.js,95,Environment,PINECONE_ENVIRONMENT,MEDIUM,NEEDS_MIGRATION
functions/lib/functions/src/sallyport-auth.js,Various,JWT_Secrets,SALLYPORT_SECRETS,CRITICAL,NEEDS_MIGRATION
dr-grant-auth.js,23,Demo_Token,HARDCODED_DEMO_TOKEN,HIGH,NEEDS_REFACTOR
launch-deployment/base-template.html,1907,API_Key_Input,CLAUDE_API_KEY,CRITICAL,NEEDS_MIGRATION
launch-deployment/base-template.html,2266,Environment_Fallback,PROCESS_ENV_KEYS,HIGH,NEEDS_MIGRATION
launch-deployment/base-template.html,2298,OAuth_Token,OAUTH2_BEARER_TOKEN,CRITICAL,NEEDS_MIGRATION
launch-deployment/base-template.html,2341,Cached_Token,OAUTH2_CACHED_TOKEN,HIGH,NEEDS_MIGRATION
